"RoleName","RoleId","Subscription ID","Subscription Name"
"Tag Reader","4cd9869f-37c2-4a3c-bf38-89b29ea224e0","a952f80f-11a2-4c52-8dbf-0923387be550","D005-B098-enterprise-Z-LTE-006"
"Orca Security Side-Scanner Role v12.10.00 / 51800a7802b5","2dc12cc1-9cc2-55f2-a969-b03108b4ba7e","a952f80f-11a2-4c52-8dbf-0923387be550","D005-B098-enterprise-Z-LTE-006"
"Orca Security - DSPM Scanner Access / 51800a7802b5","7c825118-3a2d-5f44-9333-e62fe7a84193","a952f80f-11a2-4c52-8dbf-0923387be550","D005-B098-enterprise-Z-LTE-006"
"Tag Reader","4cd9869f-37c2-4a3c-bf38-89b29ea224e0","6860e4c9-4453-4884-ab23-f8217cb80545","D006-B010-IBMCIAO-Z-DRE-006"
"Orca Security Side-Scanner Role v12.10.00 / 51800a7802b5","2dc12cc1-9cc2-55f2-a969-b03108b4ba7e","6860e4c9-4453-4884-ab23-f8217cb80545","D006-B010-IBMCIAO-Z-DRE-006"
"Orca Security - DSPM Scanner Access / 51800a7802b5","7c825118-3a2d-5f44-9333-e62fe7a84193","6860e4c9-4453-4884-ab23-f8217cb80545","D006-B010-IBMCIAO-Z-DRE-006"
"Orca Security Side-Scanner Role v12.10.00 / 428e3f0c1660","13f96e99-1e44-5370-b409-9686e9f67ca1","7bf9da81-8916-4658-a1f4-428e3f0c1660","D002-B139-CCHAxcessTax-Z-PRD-006"
"Orca Security - DSPM Scanner Access / 428e3f0c1660","bb60a219-f449-5d48-98c3-1968e0e04e7b","7bf9da81-8916-4658-a1f4-428e3f0c1660","D002-B139-CCHAxcessTax-Z-PRD-006"
"Tag Reader","4cd9869f-37c2-4a3c-bf38-89b29ea224e0","7bf9da81-8916-4658-a1f4-428e3f0c1660","D002-B139-CCHAxcessTax-Z-PRD-006"
"Orca Security Side-Scanner Role v12.10.00 / 51800a7802b5","2dc12cc1-9cc2-55f2-a969-b03108b4ba7e","7bf9da81-8916-4658-a1f4-428e3f0c1660","D002-B139-CCHAxcessTax-Z-PRD-006"
"Orca Security - DSPM Scanner Access / 51800a7802b5","7c825118-3a2d-5f44-9333-e62fe7a84193","7bf9da81-8916-4658-a1f4-428e3f0c1660","D002-B139-CCHAxcessTax-Z-PRD-006"
"Orca Security Side-Scanner Role v12.10.00 / 2758ac99e48c","3ee6988d-e41f-5b1e-a03e-7e9a5f9750ef","3b5bf2ca-57dd-4bb1-9307-2758ac99e48c","GBS-GSD-IIB-Z-DevTest"
"Orca Security - DSPM Scanner Access / 2758ac99e48c","b901d4f3-ae77-5ee7-aeb0-2b3f237251ee","3b5bf2ca-57dd-4bb1-9307-2758ac99e48c","GBS-GSD-IIB-Z-DevTest"
"Tag Reader","4cd9869f-37c2-4a3c-bf38-89b29ea224e0","3b5bf2ca-57dd-4bb1-9307-2758ac99e48c","GBS-GSD-IIB-Z-DevTest"
"Orca Security Side-Scanner Role v12.10.00 / 51800a7802b5","2dc12cc1-9cc2-55f2-a969-b03108b4ba7e","3b5bf2ca-57dd-4bb1-9307-2758ac99e48c","GBS-GSD-IIB-Z-DevTest"
"Orca Security - DSPM Scanner Access / 51800a7802b5","7c825118-3a2d-5f44-9333-e62fe7a84193","3b5bf2ca-57dd-4bb1-9307-2758ac99e48c","GBS-GSD-IIB-Z-DevTest"
"Tag Reader","4cd9869f-37c2-4a3c-bf38-89b29ea224e0","1c620b3b-2df6-4df0-a97f-1218784e0f1e","D001-B003-InvalidSystemforBarometerITRem-Z-PRD-006"
"Orca Security Side-Scanner Role v12.10.00 / 51800a7802b5","2dc12cc1-9cc2-55f2-a969-b03108b4ba7e","1c620b3b-2df6-4df0-a97f-1218784e0f1e","D001-B003-InvalidSystemforBarometerITRem-Z-PRD-006"
"Orca Security - DSPM Scanner Access / 51800a7802b5","7c825118-3a2d-5f44-9333-e62fe7a84193","1c620b3b-2df6-4df0-a97f-1218784e0f1e","D001-B003-InvalidSystemforBarometerITRem-Z-PRD-006"
"Orca Security Side-Scanner Role v12.10.00 / b8c5d8dc2ace","a08dafa7-d46f-53f2-b7e6-0765ec05d1c0","0c35e14b-268d-4cb6-8b2d-b8c5d8dc2ace","D003-B066-ELM-Z-PRD-001"
"GBS_GH_DBA_Support","f083dc5b-1757-47b5-a27e-51b812e4b17c","0c35e14b-268d-4cb6-8b2d-b8c5d8dc2ace","D003-B066-ELM-Z-PRD-001"
"CloudabilitySubscriptionDataReader","8c6e5ff5-6bdb-4366-9307-c7d5233f98a0","0c35e14b-268d-4cb6-8b2d-b8c5d8dc2ace","D003-B066-ELM-Z-PRD-001"
"Orca Security - DSPM Scanner Access / b8c5d8dc2ace","e222b8d2-91ea-56fa-84d2-cfebc27feb17","0c35e14b-268d-4cb6-8b2d-b8c5d8dc2ace","D003-B066-ELM-Z-PRD-001"
